class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Passeriformes,Acanthisittidae,Acanthisitta,chloris,-999,Rifleman,-999,4,1.5,6.525,5.166666667,-999,-999,-999,-999,1.35,19.5,24,5.166666667,-999,-999,7.55,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthisittidae,Xenicus,gilviventris,-999,New Zealand Rockwren,-999,3.1,-999,17.7,-999,-999,-999,-999,-999,2.55,-999,-999,-999,-999,-999,19.6,15.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthisittidae,Xenicus,longipes,-999,Bushwren,-999,-999,-999,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,apicalis,-999,Inland Thornbill,-999,-999,-999,7.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,chrysorrhoa,-999,Yellow-rumped Thornbill,-999,3.5,-999,9.375,-999,-999,-999,-999,-999,1.44,-999,-999,-999,-999,-999,9.8,9.4,9.2875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,ewingii,-999,Tasmanian Thornbill,-999,3.5,-999,6.95,-999,-999,-999,-999,-999,1.46,-999,-999,-999,-999,-999,6.7,7.2,7.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,inornata,-999,Western Thornbill,-999,3.5,-999,7,-999,-999,-999,-999,-999,1.35,-999,-999,-999,-999,-999,6.9,7.2,6.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,iredalei,-999,Slender-billed Thornbill,-999,3,-999,5.8,-999,-999,-999,-999,-999,0.93,-999,-999,-999,-999,-999,5.7,5.8,6.05,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,katherina,-999,Mountain Thornbill,-999,2.25,-999,6.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.7,6.8,7.025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Passeriformes,Acanthizidae,Acanthiza,lineata,-999,Striated Thornbill,-999,3,-999,7.1,-999,-999,-999,-999,-999,1.32,-999,-999,-999,-999,-999,6.9,7,7.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
