class,genus,species,adult_body_mass_g,longevity_y
Aves,Accipiter,albogularis,251.5,-999
Aves,Accipiter,badius,140,-999
Aves,Accipiter,bicolor,345,-999
Aves,Accipiter,brachyurus,142,-999
Aves,Accipiter,brevipes,203.5,-999
Aves,Accipiter,castanilius,159.375,-999
Aves,Accipiter,chilensis,345,-999
Aves,Accipiter,chionogaster,138.5,12.58333333
Aves,Accipiter,cirrocephalus,180,-999
Aves,Accipiter,cooperii,452,12
Aves,Accipiter,erythrauchen,156,-999
Aves,Accipiter,erythronemius,138.5,12.58333333
Aves,Accipiter,erythropus,107,-999
Aves,Accipiter,fasciatus,453.5,-999
Aves,Accipiter,francesiae,135.25,-999
Aves,Accipiter,gentilis,988.75,17.70833333
Aves,Accipiter,griseiceps,255.5,-999
Aves,Accipiter,gularis,118.75,-999
Aves,Accipiter,gundlachi,675,-999
Aves,Accipiter,haplochrous,240.5,-999
Aves,Accipiter,henstii,1050,-999
Aves,Accipiter,hiogaster,342.75,-999
Aves,Accipiter,imitator,237.75,-999
Aves,Accipiter,luteoschistaceus,213.75,-999
Aves,Accipiter,madagascariensis,182,-999
Aves,Accipiter,melanochlamys,269,-999
Aves,Accipiter,melanoleucus,701.8833333,7.5
Aves,Accipiter,meyerianus,815,-999
Aves,Accipiter,minullus,84.05,-999
Aves,Accipiter,nisus,212,17.89166667
Aves,Accipiter,novaehollandiae,479.5833333,-999
Aves,Accipiter,ovampensis,199.1666667,-999
Aves,Accipiter,poliocephalus,225,-999
Aves,Accipiter,rhodogaster,188.5,-999
Aves,Accipiter,rufitorques,209,-999
Aves,Accipiter,rufiventris,198,-999
Aves,Accipiter,soloensis,161,-999
Aves,Accipiter,striatus,138.5,12.58333333
Aves,Accipiter,superciliosus,73.9,-999
Aves,Accipiter,tachiro,298.5,-999
Aves,Accipiter,toussenelii,298.5,-999
Aves,Accipiter,trinotatus,146.25,-999
Aves,Accipiter,trivirgatus,276,-999
Aves,Accipiter,ventralis,138.5,12.58333333
Aves,Accipiter,virgatus,113.5,-999
Aves,Aegypius,monachus,9625,32.25
Aves,Aegypius,occipitalis,-999,-999
Aves,Aquila,adalberti,3262,44.5
Aves,Aquila,africana,1060.125,-999
Aves,Aquila,audax,3466,33.2
Aves,Aquila,ayresii,812,-999
Aves,Aquila,chrysaetos,4383,32
Aves,Aquila,fasciata,2000,20
Aves,Aquila,gurneyi,3060,-999
Aves,Aquila,heliaca,3262,56
Aves,Aquila,nipalensis,2534.5,40.65
Aves,Aquila,rapax,2347,40.3
Aves,Aquila,spilogaster,1413.833333,-999
Aves,Aquila,verreauxii,4195,40
Aves,Aviceda,cuculoides,275.75,-999
Aves,Aviceda,jerdoni,363,-999
Aves,Aviceda,leuphotes,196,-999
Aves,Aviceda,subcristata,328,-999
Aves,Busarellus,nigricollis,614,-999
Aves,Butastur,indicus,402,8.5
Aves,Butastur,liventer,338,-999
Aves,Butastur,rufipennis,335,-999
Aves,Butastur,teesa,325,-999
Aves,Buteo,albigula,495,-999
Aves,Buteo,albonotatus,757,-999
Aves,Buteo,archeri,1062.333333,-999
Aves,Buteo,augur,1060.666667,-999
Aves,Buteo,auguralis,670,-999
Aves,Buteo,bannermani,990.5,25.33333333
Aves,Buteo,brachypterus,511,-999
Aves,Buteo,brachyurus,495,-999
Aves,Buteo,burmanicus,878.25,25.33666667
Aves,Buteo,buteo,878.25,25.33666667
Aves,Buteo,galapagoensis,1163.333333,-999
Aves,Buteo,hemilasius,1342.5,-999
Aves,Buteo,jamaicensis,1126,25.5
Aves,Buteo,japonicus,878.25,25.33666667
Aves,Buteo,lagopus,945.5,17.9
Aves,Buteo,lineatus,616,20
Aves,Buteo,nitidus,510.5833333,-999
Aves,Buteo,oreophilus,700,-999
Aves,Buteo,plagiatus,510.5833333,-999
Aves,Buteo,platypterus,437,16.32
Aves,Buteo,regalis,1469.5,20
Aves,Buteo,ridgwayi,-999,-999
Aves,Buteo,rufinus,1174.5,8.5
Aves,Buteo,rufofuscus,1062.333333,-999
Aves,Buteo,socotraensis,1174.5,8.5
Aves,Buteo,solitarius,505,17
Aves,Buteo,swainsoni,969.57,16
Aves,Buteo,trizonatus,700,-999
Aves,Buteo,ventralis,1210,-999
Aves,Buteogallus,aequinoctialis,693.25,-999
Aves,Buteogallus,anthracinus,996,13.5
Aves,Buteogallus,coronatus,2950,-999
Aves,Buteogallus,gundlachii,945,13.5
Aves,Buteogallus,meridionalis,808,-999
Aves,Buteogallus,schistaceus,1000,-999
Aves,Buteogallus,solitarius,3000,-999
Aves,Buteogallus,urubitinga,1230,-999
Aves,Chelictinia,riocourii,110,-999
Aves,Chondrohierax,uncinatus,288.75,-999
Aves,Chondrohierax,wilsonii,288.75,-999
Aves,Circaetus,beaudouini,1717.25,17.3
Aves,Circaetus,cinerascens,-999,-999
Aves,Circaetus,cinereus,2048,6.8
Aves,Circaetus,fasciolatus,1021.5,-999
Aves,Circaetus,gallicus,1717.25,17.3
Aves,Circaetus,pectoralis,1717.25,17.3
Aves,Circus,aeruginosus,607,18.2
Aves,Circus,approximans,752.5,17.25
Aves,Circus,assimilis,521.25,-999
Aves,Circus,buffoni,519.5,-999
Aves,Circus,cinereus,468.5,-999
Aves,Circus,cyaneus,436.5,16.74983333
Aves,Circus,hudsonius,436.5,16.41666667
Aves,Circus,macrosceles,655.75,-999
Aves,Circus,macrourus,383.5,13.4585
Aves,Circus,maillardi,655.75,-999
Aves,Circus,maurus,532,-999
Aves,Circus,melanoleucos,375,-999
Aves,Circus,pygargus,315.5,16.23333333
Aves,Circus,ranivorus,494.5,-999
Aves,Circus,spilonotus,562.25,-999
Aves,Circus,spilothorax,562.25,-999
Aves,Clanga,clanga,1934.65,-999
Aves,Clanga,hastata,1431.666667,24.2
Aves,Clanga,pomarina,1431.666667,24.2
Aves,Cryptoleucopteryx,plumbea,482,-999
Aves,Elanoides,forficatus,442.625,-999
Aves,Elanus,axillaris,265.5,-999
Aves,Elanus,caeruleus,248,6
Aves,Elanus,leucurus,311.65,5.9
Aves,Elanus,scriptus,315.8,-999
Aves,Erythrotriorchis,buergersi,575,-999
Aves,Erythrotriorchis,radiatus,937.5,-999
Aves,Eutriorchis,astur,-999,-999
Aves,Gampsonyx,swainsonii,92.9,-999
Aves,Geranoaetus,albicaudatus,889,6.5
Aves,Geranoaetus,melanoleucus,2433.75,42
Aves,Geranoaetus,polyosoma,880,-999
Aves,Geranospiza,caerulescens,303,-999
Aves,Gypaetus,barbatus,5606.041667,40
Aves,Gypohierax,angolensis,1600,27.1
Aves,Gyps,africanus,5442.5,19.7
Aves,Gyps,bengalensis,4871,17.2
Aves,Gyps,coprotheres,7862,19.7
Aves,Gyps,fulvus,7436,41.4
Aves,Gyps,himalayensis,10000,-999
Aves,Gyps,indicus,5705,-999
Aves,Gyps,rueppelli,7400,-999
Aves,Gyps,tenuirostris,5705,-999
Aves,Haliaeetus,albicilla,4793,29.83333333
Aves,Haliaeetus,humilis,782.25,-999
